Código do Termo;Termo;Apresentação;Laboratório;Data de início de vigência;Data de fim de vigência;Data de fim de implantação;REGISTRO ANVISA
90133129;PLATAMINE CS;10 MG/ML SOL INJ CT FA PLAS TRANS X 45 ML (REST HOSP);LABORATÓRIOS PFIZER LTDA;01/01/2016;;31/03/2016;1021601970037
90133137;PLATAMINE CS;10 MG/ML SOL INJ CT FA PLAS TRANS X 5 ML (REST HOSP);LABORATÓRIOS PFIZER LTDA;01/01/2016;;31/03/2016;1021601970010
90382170;PLATAMINE CS;10 MG/ML SOL INJ CT FA PLAS TRANS X 15 ML;WYETH INDÚSTRIA FARMACÊUTICA LTDA;01/01/2018;;31/03/2018;1211003760026
90382188;PLATAMINE CS;10 MG/ML SOL INJ CT FA PLAS TRANS X 45 ML;WYETH INDÚSTRIA FARMACÊUTICA LTDA;01/01/2018;;31/03/2018;1211003760034
90382200;PLATAMINE CS;10 MG/ML SOL INJ CT FA PLAS TRANS X 5 ML;WYETH INDÚSTRIA FARMACÊUTICA LTDA;01/01/2018;;31/03/2018;1211003760018
90405498;EVOCARB;10 MG/ML PO LIOF INJ CT FA VD AMB X 15 ML;WYETH INDÚSTRIA FARMACÊUTICA LTDA;01/03/2019;;31/05/2019;1211003880031
90405501;EVOCARB;10 MG/ML PO LIOF INJ CT 10 FA VD AMB X 15 ML;WYETH INDÚSTRIA FARMACÊUTICA LTDA;01/03/2019;;31/05/2019;1211003880048
90405510;EVOCARB;10 MG/ML PO LIOF INJ CT FA VD AMB X 45 ML;WYETH INDÚSTRIA FARMACÊUTICA LTDA;01/03/2019;;31/05/2019;1211003880056
90405528;EVOCARB;10 MG/ML PO LIOF INJ CT FA VD AMB X 5 ML;WYETH INDÚSTRIA FARMACÊUTICA LTDA;01/03/2019;;31/05/2019;1211003880013
90405536;EVOCARB;10 MG/ML PO LIOF INJ CT 10 FA VD AMB X 5 ML;WYETH INDÚSTRIA FARMACÊUTICA LTDA;01/03/2019;;31/05/2019;1211003880021
90232313;FAULDCARBO;10 MG/ML SOL INJ CT FA VD AMB X 15 ML;LIBBS FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1003301330050
90232321;FAULDCARBO;10 MG/ML SOL INJ CT FA VD AMB X 45 ML;LIBBS FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1003301330069
90232330;FAULDCARBO;10 MG/ML SOL INJ CT FA VD AMB X 5 ML;LIBBS FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1003301330042
90382862;CITOPLATINA;10 MG/ ML SOL INJ CX 1 FA VD AMB X 5 ML;UCB BIOPHARMA LTDA.;01/01/2018;;31/03/2018;1236100600017
90382870;CITOPLATINA;10 MG/ ML SOL INJ CX 1 FA VD AMB X 15 ML ;UCB BIOPHARMA LTDA.;01/01/2018;;31/03/2018;1236100600025
90382889;CITOPLATINA;10 MG/ ML SOL INJ CX 1 FA VD AMB X 45 ML;UCB BIOPHARMA LTDA.;01/01/2018;;31/03/2018;1236100600033
90215320;TECNOCARB;150 MG PO LIOF INJ CT FA VD AMB X 25 ML;ZODIAC PRODUTOS FARMACÊUTICOS S/A;10/10/2012;;31/08/2014;1221400190029
90215338;TECNOCARB;450 MG PO LIOF INJ CT FA VD AMB X 50 ML;ZODIAC PRODUTOS FARMACÊUTICOS S/A;10/10/2012;;31/08/2014;1221400190010
90203143;TEVACARBO;10 MG/ML SOL INJ CT FA VD AMB X 45 ML (EMB HOSP);TEVA FARMACÊUTICA LTDA.;10/10/2012;;31/08/2014;1557300080035
90203151;TEVACARBO;10 MG/ML SOL INJ CT FA VD AMB X 5 ML (EMB HOSP);TEVA FARMACÊUTICA LTDA.;10/10/2012;;31/08/2014;1557300080019
90203135;TEVACARBO;10 MG/ML SOL INJ CT FA VD AMB X 15 ML (EMB HOSP);TEVA FARMACÊUTICA LTDA.;10/10/2012;;31/08/2014;1557300080027
90002032;CARBOPLATINA;10 MG/ML SOL INJ IV CT FA VD AMB X 15 ML ;ACCORD FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1553700030024
90002040;CARBOPLATINA;10 MG/ML SOL INJ IV CT FA VD AMB X 45 ML ;ACCORD FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1553700030032
90359550;KYPROLIS;60 MG PO LIOF SOL INJ CT 1 FA VD TRANS;AMGEN BIOTECNOLOGIA DO BRASIL LTDA.;10/04/2017;;09/07/2017;1024400100013
90333640;BECENUN;100 MG PO LIOF INF CT 10 FA VD AMB + DIL X 3 ML;BIOLAB SANUS FARMACÊUTICA LTDA;01/06/2016;;31/08/2016;1097402290011
90359585;GLIADEL;7,7 MG IMPL CX 8 ENV AL PLAS X 1;EISAI LABORATÓRIOS LTDA;10/04/2017;;09/07/2017;1731000040010
90382897;CIMZIA;200 MG/ML SOL INJ CT 2 SER VD INC PREENC X 1 ML + 2 LENÇOS UMEDECIDOS;UCB BIOPHARMA LTDA.;01/01/2018;;31/03/2018;1236100870014
90382900;CIMZIA;200 MG/ML SOL INJ CT 6 SER VD INC PREENC X 1 ML + 6 LENÇOS UMEDECIDOS;UCB BIOPHARMA LTDA.;01/01/2018;;31/03/2018;1236100870022
90160266;ERBITUX;5 MG/ML SOL INJ CT FA VD INC X 100 ML  ;MERCK S/A;10/10/2012;;31/08/2014;1008903350050
90160282;ERBITUX;5 MG/ML SOL INJ CT FA VD INC X 20 ML ;MERCK S/A;10/10/2012;;31/08/2014;1008903350034
90020294;GENUXAL;1000 MG PO SOL INJ IV CX 10 FA VD INC X 75 ML (REST HOSP);BAXTER HOSPITALAR LTDA;01/01/2016;;31/03/2016;1068301680031
90020308;GENUXAL;200 MG PO SOL INJ IV CX 10 FA VD INC X 20 ML (REST HOSP);BAXTER HOSPITALAR LTDA;01/01/2016;;31/03/2016;1068301680021
90218574;GENUXAL;50 MG COM REV LIB RETARD CT BL AL/AL X 50;BAXTER HOSPITALAR LTDA;10/10/2012;;31/08/2014;1068301680013
90359828;GENUXAL;1000 MG PO SOL INJ IV CX 1 FA VD TRANS X 75 ML (REST HOSP);BAXTER HOSPITALAR LTDA;10/04/2017;;09/07/2017;1068301680048
90359836;GENUXAL;200 MG PO SOL INJ IV CX 1 FA VD TRANS X 20 ML (REST HOSP);BAXTER HOSPITALAR LTDA;10/04/2017;;09/07/2017;1068301680056
90082508;CICLOSPORINA;100 MG CAP GEL MOLE C/ MCEMU CT BL AL/AL X 50;GERMED FARMACEUTICA LTDA;10/10/2012;;31/08/2014;1058302340030
90082516;CICLOSPORINA;25 MG CAP GEL MOLE C/ MCEMU CT BL AL/AL X 50;GERMED FARMACEUTICA LTDA;10/10/2012;;31/08/2014;1058302340014
90082524;CICLOSPORINA;50 MG CAP GEL MOLE C/ MCEMU CT BL AL/AL X 50;GERMED FARMACEUTICA LTDA;10/10/2012;;31/08/2014;1058302340022
90086945;SIGMASPORIN;100 MG CAP GEL MOLE CT BL AL/AL X 50;GERMED FARMACEUTICA LTDA;10/10/2012;;31/08/2014;1058301970162
90086937;SIGMASPORIN;100 MG/ML SOL OR CT FR VD AMB X 50 ML;GERMED FARMACEUTICA LTDA;10/10/2012;;31/08/2014;1058301970103
90086961;SIGMASPORIN;25 MG CAP GEL MOLE CT FR VD AMB X 50;GERMED FARMACEUTICA LTDA;10/10/2012;;31/08/2014;1058301970073
90086970;SIGMASPORIN;50 MG CAP GEL MOLE CT FR VD AMB X 50;GERMED FARMACEUTICA LTDA;10/10/2012;;31/08/2014;1058301970081
90172540;SANDIMMUN;50 MG/ML SOL INJ CT 10 AMP VD INC X 1 ML;NOVARTIS BIOCIENCIAS S.A;10/10/2012;;31/08/2014;1006800200025
90172558;SANDIMMUN;50 MG/ML SOL INJ CT 10 AMP VD INC X 5 ML;NOVARTIS BIOCIENCIAS S.A;10/10/2012;;31/08/2014;1006800200033
90172574;SANDIMMUN NEORAL;100 MG CAP GEL MOLE CT BL AL/AL X 50;NOVARTIS BIOCIENCIAS S.A;10/10/2012;;31/08/2014;1006800200092
90172566;SANDIMMUN NEORAL;100 MG/ML SOL OR CT FR VD INC X 50 ML;NOVARTIS BIOCIENCIAS S.A;10/10/2012;;31/08/2014;1006800200106
90172582;SANDIMMUN NEORAL;25 MG CAP GEL MOLE CT BL AL/AL X 50;NOVARTIS BIOCIENCIAS S.A;10/10/2012;;31/08/2014;1006800200076
90172590;SANDIMMUN NEORAL;50 MG CAP GEL MOLE CT BL AL/AL X 50;NOVARTIS BIOCIENCIAS S.A;10/10/2012;;31/08/2014;1006800200084
90030737;C-PLATIN;0,5 MG/ML SOL INJ CT FA VD AMB X 20 ML;BLAU FARMACÊUTICA S.A.;01/01/2016;;31/03/2016;1163700390014
90030710;C-PLATIN;1 MG/ML SOL INJ CT FA VD AMB X 100 ML ;BLAU FARMACÊUTICA S.A.;01/01/2016;;31/03/2016;1163700390030
90030729;C-PLATIN;1 MG/ML SOL INJ CT FA VD AMB X 50 ML;BLAU FARMACÊUTICA S.A.;01/01/2016;;31/03/2016;1163700390073
90120841;CITOPLAX;1 MG/ML SOL INJ CT FA VD AMB X 50 ML;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;10/10/2012;;31/08/2014;1064601620072
90228847;CITOPLAX;1 MG/ML SOL INJ CT FA VD AMB X 100 ML;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;10/10/2012;;31/08/2014;1064601620099
90255771;PLATISTINE CS;1 MG/ML SOL INJ CT 1 FA PLAS TRANS X 10 ML (REST HOSP);LABORATÓRIOS PFIZER LTDA;01/12/2013;;31/08/2014;1021601810021
90133145;PLATISTINE CS;1 MG/ML SOL INJ CT 1 FA PLAS TRANS X 100 ML (REST HOSP);LABORATÓRIOS PFIZER LTDA;01/01/2016;;31/03/2016;1021601810031
90133153;PLATISTINE CS;1 MG/ML SOL INJ CT 1 FA PLAS TRANS X 50 ML (REST HOSP);LABORATÓRIOS PFIZER LTDA;01/01/2016;;31/03/2016;1021601810048
90144368;FAULDCISPLA;1 MG/ML SOL INJ CT FA VD AMB X 100 ML ;LIBBS FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1003301400032
90144384;FAULDCISPLA;1 MG/ML SOL INJ CT FA VD AMB X 50 ML ;LIBBS FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1003301400024
90144376;FAULDCISPLA;1 MG/ML SOL INJ CT FA VD AMB X 10 ML ;LIBBS FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1003301400016
90215435;TECNOPLATIN;0,5MG/ML SOL INJ CX FA VD AMB X 20 ML (USO HOSP.);ZODIAC PRODUTOS FARMACÊUTICOS S/A;10/10/2012;;31/08/2014;1221400220017
90002083;CISPLATINA;1 MG/ML SOL INJ IV CT FA VD AMB X 50 ML;ACCORD FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1553700020037
90002067;CISPLATINA;1 MG/ML SOL INJ IV CT FA VD AMB X 10 ML  ;ACCORD FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1553700020010
90418140;MYLLCIS;1 MG/ML SOL INJ IV CT FA VD AMB X 50 ML;MYLAN LABORATORIOS LTDA;01/03/2019;;31/05/2019;1883000550018
90418158;MYLLCIS;1 MG/ML SOL INJ IV CT 5 FA VD AMB X 50 ML;MYLAN LABORATORIOS LTDA;01/03/2019;;31/05/2019;1883000550026
90418166;MYLLCIS;1 MG/ML SOL INJ IV CT 10 FA VD AMB X 50 ML;MYLAN LABORATORIOS LTDA;01/03/2019;;31/05/2019;1883000550034
90418174;MYLLCIS;1 MG/ML SOL INJ IV CT FA VD AMB X 100 ML;MYLAN LABORATORIOS LTDA;01/03/2019;;31/05/2019;1883000550042
90418182;MYLLCIS;1 MG/ML SOL INJ IV CT 5 FA VD AMB X 100 ML;MYLAN LABORATORIOS LTDA;01/03/2019;;31/05/2019;1883000550050
90418190;MYLLCIS;1 MG/ML SOL INJ IV CT 10 FA VD AMB X 100 ML;MYLAN LABORATORIOS LTDA;01/03/2019;;31/05/2019;1883000550069
90030680;CITARAX;50 MG/ML SOL INJ CT 10 FA VD INC X 10 ML;BLAU FARMACÊUTICA S.A.;01/01/2016;;31/03/2016;1163700520041
90030664;CITARAX;20 MG/ML SOL INJ CT 10 FA VD INC X 5 ML;BLAU FARMACÊUTICA S.A.;01/01/2016;;31/03/2016;1163700520031
90255763;ARACYTIN;20 MG/ML SOL INJ CT 05 FA PLAS INC X 05 ML (REST. HOSP.);LABORATÓRIOS PFIZER LTDA;01/12/2013;;31/08/2014;1021601430040
90130537;ARACYTIN;100 MG PO LIOF INJ CT FA VD INC + AMP DI VD INC X 05 ML (REST. HOSP);LABORATÓRIOS PFIZER LTDA;10/10/2012;;31/08/2014;1021601430016
90130529;ARACYTIN CS;100 MG/ML SOL INJ CT FA PLAS INC X 10 ML (REST HOSP);LABORATÓRIOS PFIZER LTDA;01/01/2016;;31/03/2016;1021601430024
90130545;ARACYTIN CS;20 MG/ML SOL INJ CT 01 FA PLAS INC X 25 ML (REST. HOSP.);LABORATÓRIOS PFIZER LTDA;01/01/2016;;31/03/2016;1021601430059
90406044;ARACYTIN;100 MG PO LIOF INJ CT FA VD TRANS + AMP DI VD TRANS X 05 ML ;WYETH INDÚSTRIA FARMACÊUTICA LTDA;01/03/2019;;31/05/2019;1211003940016
90406052;ARACYTIN;100 MG/ML SOL INJ CT FA PLAS TRANS X 10 ML;WYETH INDÚSTRIA FARMACÊUTICA LTDA;01/03/2019;;31/05/2019;1211003940024
90406060;ARACYTIN;20 MG/ML SOL INJ CT 05 FA PLAS TRANS X 05 ML;WYETH INDÚSTRIA FARMACÊUTICA LTDA;01/03/2019;;31/05/2019;1211003940040
90406079;ARACYTIN;20 MG/ML SOL INJ CT 01 FA PLAS TRANS X 25 ML ;WYETH INDÚSTRIA FARMACÊUTICA LTDA;01/03/2019;;31/05/2019;1211003940059
90144406;FAULDCITA;100 MG/ML SOL INJ CT 5 FA VD INC X 5 ML;LIBBS FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1003301380023
90144414;FAULDCITA;100 MG/ML SOL INJ CT FA VD INC X 10 ML;LIBBS FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1003301380031
90158873;TABINE;100 MG/ML SOL INJ CT FA VD INC X 1 ML (REST HOSP);UCB BIOPHARMA LTDA.;01/01/2018;;31/03/2018;1236100260100
90158865;TABINE;100 MG/ML SOL INJ CT FA VD INC X 10 ML (REST HOSP);UCB BIOPHARMA LTDA.;01/01/2018;;31/03/2018;1236100260127
90158881;TABINE;100 MG/ML SOL INJ CT FA VD INC X 5 ML (REST HOSP);UCB BIOPHARMA LTDA.;01/01/2018;;31/03/2018;1236100260119
90002113;CITARABINA;100 MG/ML SOL INJ CT FA VD INC X 5 ML;ACCORD FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1553700050025
90002091;CITARABINA;100 MG/ML SOL INJ CT FA VD INC X 10 ML;ACCORD FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1553700050033
90002105;CITARABINA;100 MG/ML SOL INJ CT FA VD INC X 1 ML;ACCORD FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1553700050017
90415213;CYTOS;100 MG/ML SOL INJ CT FA VD TRANS X 1 ML;ACCORD FARMACÊUTICA LTDA;01/03/2019;;31/05/2019;1553700660011
90415221;CYTOS;100 MG/ML SOL INJ CT FA VD TRANS X 5 ML;ACCORD FARMACÊUTICA LTDA;01/03/2019;;31/05/2019;1553700660028
90415230;CYTOS;100 MG/ML SOL INJ CT FA VD TRANS X 10 ML;ACCORD FARMACÊUTICA LTDA;01/03/2019;;31/05/2019;1553700660036
90394429;NINLARO;2,3 MG CAP DURA CT BL AL AL X 3;TAKEDA PHARMA LTDA.;01/03/2019;;31/05/2019;1063902780062
90394437;NINLARO;3 MG CAP DURA CT BL AL AL X 3;TAKEDA PHARMA LTDA.;01/03/2019;;31/05/2019;1063902780021
90394445;NINLARO;4 MG CAP DURA CT BL AL AL X 3;TAKEDA PHARMA LTDA.;01/03/2019;;31/05/2019;1063902780046
90228308;LEUSTATIN;1 MG/ML SOL INJ CT X 1 FA VD INC X 8 ML;JANSSEN-CILAG FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1123633410031
90375610;LEUKERAN;2 MG COM REV CT FR VD AMB X 25;ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA;01/01/2018;;31/03/2018;1376401480016
90360338;XOFIGO;1100 KBQ/ML SOL INJ CX BLINDAGEM DE CHUMBO FA VD TRANS X 6ML;BAYER S.A.;10/04/2017;;09/07/2017;1705601040024
90400070;EVOCLASS;20 MG PO LIOF SOL INJ CT FA VD AMB X 10 ML;FARMARIN INDUSTRIA E COMERCIO LTDA;01/03/2019;;31/05/2019;1168800250010
90131371;DAUNOBLASTINA;20 MG PO LIOF INJ CT FA VD INC + DIL AMP VD INC X 10ML (USO HOSPITALAR);LABORATÓRIOS PFIZER LTDA;10/10/2012;;31/08/2014;1021602140011
90406028;DAUNOBLASTINA;20 MG PO LIOF INJ CT FA VD TRANS + DIL AMP VD TRANS X 10ML;WYETH INDÚSTRIA FARMACÊUTICA LTDA;01/03/2019;;31/05/2019;1211003950011
90158300;DAUNOCIN;20 MG PÓ LIÓF INJ CX FA VD INC;UCB BIOPHARMA LTDA.;01/01/2018;;31/03/2018;1236100250024
90344227;CLORIDRATO DE DAUNORRUBICINA;20 MG PO LIOF SOL INJ CT FA VD AMB X 10 ML;HOSPIRA PRODUTOS HOSPITALARES LTDA;01/06/2016;;31/08/2016;1625000050015
90355997;EVOCLASS;20 MG PO LIOF SOL INJ CT FA VD AMB X 10 ML;HOSPIRA PRODUTOS HOSPITALARES LTDA;01/10/2016;;31/12/2016;1625000080011
90214714;CARDIOXANE;500 MG PO LIOF INJ CT FA VD AMB (REST HOSP);ZODIAC PRODUTOS FARMACÊUTICOS S/A;10/10/2012;;31/08/2014;1221400290015
90067576;CLORIDRATO DE DOXORRUBICINA;50 MG PO LIOF SOL INJ CT 10 FA VD INC X 50 ML;EUROFARMA LABORATÓRIOS S.A.;01/01/2016;;31/03/2016;1004300040030
90399781;EVORUBICIN;10 MG PÓ LIOF INJ CT 5 FA VD AMB;FARMARIN INDUSTRIA E COMERCIO LTDA;01/03/2019;;31/05/2019;1168800160021
90399790;EVORUBICIN;10 MG PÓ LIOF INJ CT FA VD AMB;FARMARIN INDUSTRIA E COMERCIO LTDA;01/03/2019;;31/05/2019;1168800160011
90399803;EVORUBICIN;50 MG PÓ LIOF INJ CT 5 FA VD AMB;FARMARIN INDUSTRIA E COMERCIO LTDA;01/03/2019;;31/05/2019;1168800160046
90399811;EVORUBICIN;50 MG PÓ LIOF INJ CT FA VD AMB;FARMARIN INDUSTRIA E COMERCIO LTDA;01/03/2019;;31/05/2019;1168800160038
90228359;CAELYX;2 MG/ML SUS INJ CT FA INC X 10 ML;JANSSEN-CILAG FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1123633990011
90311280;CAELYX;2 MG/ML SUS INJ CT FA INC X 25 ML;JANSSEN-CILAG FARMACÊUTICA LTDA;01/01/2016;;31/03/2016;1123633990028
90121643;RUBIDOX;10 MG PO LIOF INJ CT 1 FA VD INC + DIL X 5 ML;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;10/10/2012;;31/08/2014;1064600980024
90121651;RUBIDOX;50 MG PO LIOF INJ CT 1 FA VD INC;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;10/10/2012;;31/08/2014;1064600980032
90091221;CLORIDRATO DE DOXORRUBICINA;10 MG PO LIOF P/ SOL INJ CT FA VD INC;GLENMARK FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1101302320016
90091230;CLORIDRATO DE DOXORRUBICINA;50 MG PO LIOF P/ SOL INJ CT FA VD INC;GLENMARK FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1101302320024
90130448;ADRIBLASTINA RD;10 MG PO LIOF INJ CT FA VD INC (REST HOSP);LABORATÓRIOS PFIZER LTDA;10/10/2012;;31/08/2014;1021601650016
90130456;ADRIBLASTINA RD;50 MG PO LIOF INJ CT FA VD INC (REST HOSP);LABORATÓRIOS PFIZER LTDA;10/10/2012;;31/08/2014;1021601650024
90406095;ADRIBLASTINA RD;10 MG PO LIOF INJ CT FA VD INC (REST HOSP);WYETH INDÚSTRIA FARMACÊUTICA LTDA;01/03/2019;;31/05/2019;1211003570014
90406109;ADRIBLASTINA RD;50 MG PO LIOF INJ CT FA VD INC (REST HOSP);WYETH INDÚSTRIA FARMACÊUTICA LTDA;01/03/2019;;31/05/2019;1211003570022
90144562;FAULDOXO;2 MG/ML SOL INJ CT FA VD INC X 5 ML ;LIBBS FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1003301340013
90144554;FAULDOXO;2 MG/ML SOL INJ CT FA VD INC X 25 ML;LIBBS FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1003301340021
90158652;ONCODOX;10 MG PO LIOF INJ CX FA VD INC;UCB BIOPHARMA LTDA.;01/01/2018;;31/03/2018;1236100330011
90214838;DOXOPEG;2 MG/ML SUS INJ CT FA VD INC X 10 ML;ZODIAC PRODUTOS FARMACÊUTICOS S/A;10/10/2012;;31/08/2014;1221400760011
90121449;NUOVODOX;50 MG PO LIOF INJ CT FA VD INC ;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;10/10/2012;;31/08/2014;1064601680024
90131770;FARMORUBICINA CS;2 MG/ML SOL INJ CT FA PLAS TRANS X 5 ML;LABORATÓRIOS PFIZER LTDA;01/01/2016;;31/03/2016;1021601510052
90131762;FARMORUBICINA CS;2 MG/ML SOL INJ CT FA PLAS TRANS X 25 ML;LABORATÓRIOS PFIZER LTDA;01/01/2016;;31/03/2016;1021601510060
90131738;FARMORUBICINA CS;10 MG PO LIOF INJ CT FA VD INC;LABORATÓRIOS PFIZER LTDA;01/01/2016;;31/03/2016;1021601510011
90131789;FARMORUBICINA CS;50 MG PO LIOF INJ CT FA VD INC;LABORATÓRIOS PFIZER LTDA;01/01/2016;;31/03/2016;1021601510028
90131746;FARMORUBICINA CS;2 MG/ML SOL INJ CT FA PLAS TRANS X 100 ML;LABORATÓRIOS PFIZER LTDA;01/01/2016;;31/03/2016;1021601510109
90406630;FARMORUBICINA RD;10 MG PO LIOF INJ CT FA VD TRANS;WYETH INDÚSTRIA FARMACÊUTICA LTDA;01/03/2019;;31/05/2019;1211004020018
90406648;FARMORUBICINA RD;2 MG/ML SOL INJ CT FA PLAS TRANS X 5 ML;WYETH INDÚSTRIA FARMACÊUTICA LTDA;01/03/2019;;31/05/2019;1211004020034
90406656;FARMORUBICINA RD;2 MG/ML SOL INJ CT FA PLAS TRANS X 25 ML;WYETH INDÚSTRIA FARMACÊUTICA LTDA;01/03/2019;;31/05/2019;1211004020042
90406664;FARMORUBICINA RD;2 MG/ML SOL INJ CT FA PLAS TRANS X 100 ML;WYETH INDÚSTRIA FARMACÊUTICA LTDA;01/03/2019;;31/05/2019;1211004020069
90406672;FARMORUBICINA RD;50 MG PO LIOF INJ CT FA VD TRANS;WYETH INDÚSTRIA FARMACÊUTICA LTDA;01/03/2019;;31/05/2019;1211004020026
90002148;CLORIDRATO DE EPIRRUBICINA;2 MG/ML SOL INJ IM CT FR VD INC X 5 ML;ACCORD FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1553700150011
90002130;CLORIDRATO DE EPIRRUBICINA;2 MG/ML SOL INJ IM CT FR VD INC X 25 ML;ACCORD FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1553700150038
90236157;GILENYA;0,5 MG CAP GEL DURA CT BL AL PLAS TRANS X 28;NOVARTIS BIOCIENCIAS S.A;01/06/2019;;31/08/2014;1006810760031
90360990;CLORIDRATO DE FINGOLIMODE;0,5 MG CAP DURA CT BL AL PLAS OPC X 28;EMS S/A;10/04/2017;;09/07/2017;1023511720038
90270797;CLORIDRATO DE GENCITABINA;200 MG PO LIOF SOL INJ IV CT FA VD INC X 13 ML ;BLAU FARMACÊUTICA S.A.;01/12/2013;;31/08/2014;1163700770011
90270800;CLORIDRATO DE GENCITABINA;1000 MG PO LIOF SOL INJ IV CT FA VD INC X 50 ML;BLAU FARMACÊUTICA S.A.;01/12/2013;;31/08/2014;1163700770021
90051319;GEMZAR;1 G PO LIOF INJ CT FA VD INC X 50 ML;ELI LILLY DO BRASIL LTDA;10/10/2012;;31/08/2014;1126000170041
90051327;GEMZAR;200 MG PO LIOF INJ CT FA VD INC X 10 ML;ELI LILLY DO BRASIL LTDA;10/10/2012;;31/08/2014;1126000170033
90067584;CLORIDRATO DE GENCITABINA;1 G PÓ LIOF P/ SOL INJ IV CT 10 FA VD INC X 50 ML ;EUROFARMA LABORATÓRIOS S.A.;01/01/2016;;31/03/2016;1004310070064
90067606;CLORIDRATO DE GENCITABINA;200 MG PÓ LIOF P/ SOL INJ IV CT 10 FA VD INC X 10 ML ;EUROFARMA LABORATÓRIOS S.A.;01/01/2016;;31/03/2016;1004310070031
90399838;EVOZAR;200 MG PO LIOF INJ IV CT FA VD TRANS X 10 ML;FARMARIN INDUSTRIA E COMERCIO LTDA;01/03/2019;;31/05/2019;1168800230011
90399846;EVOZAR;1G PO LIOF INJ IV CT FA VD TRANS X 50 ML;FARMARIN INDUSTRIA E COMERCIO LTDA;01/03/2019;;31/05/2019;1168800230028
90191510;GEMCIT;1 G PO LIOF INJ CT FA VD INC ;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1004704080026
90191528;GEMCIT;200 MG PO LIOF INJ CT FA VD INC ;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1004704080018
90292430;GENCIX;200 MG PO LIOF SOL INJ CT FA VD TRANS X 10 ML;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;01/05/2014;;31/08/2014;1064601950013
90292448;GENCIX;200 MG PO LIOF SOL INJ CT 5 FA VD TRANS X 10 ML;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;01/05/2014;;31/08/2014;1064601950021
90292456;GENCIX;200 MG PO LIOF SOL INJ CT 10 FA VD TRANS X 10 ML;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;01/05/2014;;31/08/2014;1064601950031
90292464;GENCIX;1 G PO LIOF SOL INJ CT FA VD TRANS X 50 ML;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;01/05/2014;;31/08/2014;1064601950048
90292472;GENCIX;1 G PO LIOF SOL INJ CT 5 FA VD TRANS X 50 ML;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;01/05/2014;;31/08/2014;1064601950056
90292480;GENCIX;1 G PO LIOF SOL INJ CT 10 FA VD TRANS X 50 ML;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;01/05/2014;;31/08/2014;1064601950064
90144694;GENLIBBS;200 MG PÓ LIÓF INJ CT FA VD INC ;LIBBS FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1003301460019
90144686;GENLIBBS;1 G PÓ LIÓF INJ CT FA VD INC ;LIBBS FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1003301460027
90278550;EMTAZ;200 MG PÓ LIOF INJ CT FA VD INC X 10 ML  ;SUN FARMACÊUTICA DO BRASIL LTDA;01/01/2016;;31/03/2016;1468200250019
90278569;EMTAZ;1G PÓ LIOF INJ CT FA VD INC X 50 ML ;SUN FARMACÊUTICA DO BRASIL LTDA;01/01/2016;;31/03/2016;1468200250027
