Código do Termo;Termo;Data de início de vigência;Data de fim de vigência;Data de fim de implantação
30722373;Fratura de osso da mão - tratamento conservador;13/02/2009;;15/10/2010
30722381;Fratura de metacarpiano - tratamento conservador;13/02/2009;;15/10/2010
30722390;Fratura/artrodese com fixador externo;13/02/2009;;15/10/2010
30722403;Fraturas de falanges ou metacarpianos - redução incruenta;13/02/2009;;15/10/2010
30722411;Fraturas de falanges ou metacarpianos - tratamento cirúrgico com fixação;13/02/2009;;15/10/2010
30722420;Fraturas e/ou luxações de falanges (interfalangeanas) - redução incruenta;13/02/2009;;15/10/2010
30722438;Fraturas e/ou luxações de falanges (interfalangeanas) - tratamento cirúrgico;13/02/2009;;15/10/2010
30722446;Fraturas e/ou luxações de metacarpianos - redução incruenta;13/02/2009;;15/10/2010
30722454;Gigantismo ao nível da mão - tratamento cirúrgico;13/02/2009;;15/10/2010
30722462;Lesões ligamentares agudas da mão - reparação cirúrgica;13/02/2009;;15/10/2010
30722470;Lesões ligamentares crônicas da mão - reparação cirúrgica;13/02/2009;;15/10/2010
30722489;Ligamentoplastia com âncora;13/02/2009;;15/10/2010
30722497;Luxação metacarpofalangeana - redução incruenta;13/02/2009;;15/10/2010
30722500;Luxação metacarpofalangeana - tratamento cirúrgico;13/02/2009;;15/10/2010
30722519;Osteomielite ao nível da mão - tratamento cirúrgico;13/02/2009;;15/10/2010
30722527;Osteossíntese de fratura de falange e metacarpeana com fixação externa;13/02/2009;;15/10/2010
30722535;Osteossíntese de fratura de falange e metacarpeana com uso de miniparafuso;13/02/2009;;15/10/2010
30722543;Perda de substância da mão (reparação) - tratamento cirúrgico;13/02/2009;;15/10/2010
30722551;Plástica ungueal;13/02/2009;;15/10/2010
30722560;Policização ou transferência digital;13/02/2009;;15/10/2010
30722578;Polidactilia articulada - tratamento cirúrgico;13/02/2009;;15/10/2010
30722586;Polidactilia não articulada - tratamento cirúrgico;13/02/2009;;15/10/2010
30722594;Prótese (implante) para ossos do carpo;13/02/2009;;15/10/2010
30722608;Pseudartrose com perda de substâncias de metacarpiano e falanges;13/02/2009;;15/10/2010
30722616;Pseudartrose do escafóide - tratamento cirúrgico;13/02/2009;;15/10/2010
30722624;Pseudartrose dos ossos da mão - tratamento cirúrgico;13/02/2009;;15/10/2010
30722632;Reconstrução da falange com retalho homodigital;13/02/2009;;15/10/2010
30722640;Reconstrução de leito ungueal;13/02/2009;;15/10/2010
30722659;Reconstrução do polegar com retalho ilhado osteocutâneo antebraquial;13/02/2009;;15/10/2010
30722667;Reimplante de dois dedos da mão;13/02/2009;;15/10/2010
30722675;Reimplante do membro superior nível transmetacarpiano até o terço distal do antebraço;13/02/2009;;15/10/2010
30722683;Reimplante do polegar;13/02/2009;;15/10/2010
30722691;Reparações cutâneas com retalho ilhado antebraquial invertido;13/02/2009;;15/10/2010
30722705;Ressecção 1ª fileira dos ossos do carpo;13/02/2009;;15/10/2010
30722713;Ressecção de cisto sinovial;13/02/2009;;15/10/2010
30722721;Retração cicatricial de mais de um dedo, sem comprometimento tendinoso - tratamento cirúrgico;13/02/2009;;15/10/2010
30722730;Retração cicatricial de um dedo sem comprometimento tendinoso - tratamento cirúrgico;13/02/2009;;15/10/2010
30722748;Retração cicatricial dos dedos com lesão tendínea - tratamento cirúrgico;13/02/2009;;15/10/2010
30722756;Revascularização  do  polegar  ou  outro  dedo;13/02/2009;;15/10/2010
30722764;Roturas do aparelho extensor de dedo - redução incruenta;13/02/2009;;15/10/2010
30722772;Roturas tendino-ligamentares da mão (mais que 1) - tratamento cirúrgico;13/02/2009;;15/10/2010
30722780;Sequestrectomias;13/02/2009;;15/10/2010
30722799;Sindactilia de 2 dígitos - tratamento cirúrgico;13/02/2009;;15/10/2010
30722802;Sindactilia múltipla - tratamento cirúrgico;13/02/2009;;15/10/2010
30722810;Sinovectomia da mão (1 articulação);13/02/2009;;15/10/2010
30722829;Sinovectomia da mão (múltiplas);13/02/2009;;15/10/2010
30722845;Transposição de dedo - tratamento cirúrgico;13/02/2009;;15/10/2010
30722853;Tratamento cirúrgico da polidactilia múltipla e/ou complexa;13/02/2009;;15/10/2010
30722861;Tratamento cirúrgico da sindactilia múltipla com emprego de expansor - por estágio;13/02/2009;;15/10/2010
30722870;Tratamento da doença de Kiembuck com transplante vascularizado;13/02/2009;;15/10/2010
30722888;Tratamento da pseudoartrose do escafóide com transplante ósseo vascularizado e fixação com micro parafuso;13/02/2009;;15/10/2010
30722900;Roturas do aparelho extensor de dedo - tratamento conservador;13/02/2009;;15/10/2010
30722918;Rotura do aparelho extensor do dedo - tratamento cirúrgico;10/10/2012;;31/08/2014
30723019;Biópsia cirúrgica de cintura pélvica;13/02/2009;;15/10/2010
30723027;Desarticulação interílio abdominal - tratamento cirúrgico;13/02/2009;;15/10/2010
30723035;Fratura da cintura pélvica - tratamento conservador;13/02/2009;;15/10/2010
30723043;Fratura/luxação com fixador externo - tratamento cirúrgico;13/02/2009;;15/10/2010
30723051;Fraturas e/ou luxações do anel pélvico (com uma ou mais abordagens) - tratamento cirúrgico;13/02/2009;;15/10/2010
30723060;Fraturas e/ou luxações do anel pélvico - redução incruenta;13/02/2009;;15/10/2010
30723078;Osteomielite  ao nível da pelve - tratamento cirúrgico;13/02/2009;;15/10/2010
30723086;Osteotomias / artrodeses - tratamento cirúrgico;13/02/2009;;15/10/2010
30723094;Fratura de pelve sem aparelho pelve-podálico - tratamento conservador;13/02/2009;;15/10/2010
30723108;Fratura e/ou luxação de anel pélvico - tratamento conservador;13/02/2009;;15/10/2010
30723116;Fratura ou disjunção ao nível da pelve - tratamento conservador com gesso;13/02/2009;;15/10/2010
30723124;Fratura ou disjunção ao nível da pelve - tratamento conservador sem gesso;13/02/2009;;15/10/2010
30724015;Artrite séptica  - tratamento cirúrgico - articulação coxo-femoral;13/02/2009;;15/10/2010
30724023;Artrodese / fratura de acetábulo (ligamentotaxia) com fixador externo;13/02/2009;;15/10/2010
30724031;Artrodese coxo-femoral em geral - tratamento cirúrgico;13/02/2009;;15/10/2010
30724040;Artrodiastase de quadril;13/02/2009;;15/10/2010
30724058;Artroplastia (qualquer técnica ou versão de quadril) - tratamento cirúrgico;13/02/2009;;15/10/2010
30724066;Artroplastia de quadril infectada (retirada dos componentes) - tratamento cirúrgico;13/02/2009;;15/10/2010
30724074;Artroplastia de ressecção do quadril (Girdlestone) - tratamento cirúrgico;13/02/2009;;15/10/2010
30724082;Artroplastia parcial do quadril (tipo Thompson ou qualquer técnica) - tratamento cirúrgico;13/02/2009;;15/10/2010
30724090;Artrotomia de quadril infectada (incisão e drenagem de artrite séptica) sem retirada de componente - tratamento cirúrgico;13/02/2009;;15/10/2010
30724104;Artrotomia coxo-femoral - tratamento cirúrgico;13/02/2009;;15/10/2010
30724112;Biópsia cirúrgica coxo-femoral;13/02/2009;;15/10/2010
30724120;Desarticulação coxo-femoral - tratamento cirúrgico;13/02/2009;;15/10/2010
30724139;Epifisiodese com abaixamento do grande trocanter - tratamento cirúrgico;13/02/2009;;15/10/2010
30724147;"Epifisiolistese proximal de fêmur (fixação ""in situ"") - tratamento cirúrgico";13/02/2009;;15/10/2010
30724155;Fratura de acetábulo (com uma ou mais abordagens) - tratamento cirúrgico;13/02/2009;;15/10/2010
30724163;Fratura de acetábulo - redução incruenta;13/02/2009;;15/10/2010
30724171;Fratura e/ou luxação e/ou avulsão coxo-femoral - redução incruenta;13/02/2009;;15/10/2010
30724180;Fratura e/ou luxação e/ou avulsão coxo-femoral - tratamento cirúrgico;13/02/2009;;15/10/2010
30724198;Luxação congênita de quadril (redução cirúrgica e osteotomia) - tratamento cirúrgico;13/02/2009;;15/10/2010
30724201;Luxação congênita de quadril (redução cirúrgica simples) - tratamento cirúrgico;13/02/2009;;15/10/2010
30724210;Luxação congênita de quadril (redução incruenta com ou sem tenotomia de adutores);13/02/2009;;15/10/2010
30724228;Osteotomia - fixador externo;13/02/2009;;15/10/2010
30724236;Osteotomias  ao  nível  do  colo ou  região trocanteriana (Sugioka, Martin, Bombelli etc) - tratamento cirúrgico;13/02/2009;;15/10/2010
30724244;"Osteotomias supra-acetabulares (Chiari, Pemberton, ""dial"", etc) - tratamento cirúrgico";13/02/2009;;15/10/2010
30724252;Punção-biópsia coxo-femoral-artrocentese;13/02/2009;;15/10/2010
30724260;Reconstrução de quadril com fixador externo;13/02/2009;;15/10/2010
30724279;Revisão de artroplastias de quadril com retirada de componentes e implante de prótese;13/02/2009;;15/10/2010
30724287;Tratamento  de necrose  avascular  por foragem de estaqueamento associada à necrose microcirúrgica  da cabeça femoral - tratamento cirúrgico;13/02/2009;;15/10/2010
30725011;Alongamento / transporte ósseo / pseudoartrose com fixador externo - coxa/fêmur;13/02/2009;;15/10/2010
30725020;Alongamento de fêmur - tratamento cirúrgico;13/02/2009;;15/10/2010
30725038;Amputação ao nível da coxa - tratamento cirúrgico;13/02/2009;;15/10/2010
30725046;Biópsia cirúrgica de fêmur;13/02/2009;;15/10/2010
30725054;Correção de deformidade adquirida de fêmur com fixador externo;13/02/2009;;15/10/2010
30725062;Descolamento epifisário (traumático ou não) - redução incruenta;13/02/2009;;15/10/2010
30725070;Descolamento epifisário (traumático ou não) - tratamento cirúrgico;13/02/2009;;15/10/2010
30725089;Encurtamento de fêmur - tratamento cirúrgico;13/02/2009;;15/10/2010
30725097;Epifisiodese (por segmento) - tratamento cirúrgico;13/02/2009;;15/10/2010
30725100;Fratura de fêmur - tratamento conservador com gesso;13/02/2009;;15/10/2010
30725119;Fraturas de fêmur - redução incruenta;13/02/2009;;15/10/2010
30725127;Fraturas de fêmur - tratamento cirúrgico;13/02/2009;;15/10/2010
30725135;Fraturas,  pseudartroses,  correção  de  deformidades e  alongamentos com fixador externo dinâmico - tratamento cirúrgico;13/02/2009;;15/10/2010
30725143;Osteomielite de fêmur - tratamento cirúrgico;13/02/2009;;15/10/2010
30725151;Pseudartroses e/ou osteotomias - tratamento cirúrgico;13/02/2009;;15/10/2010
30725160;Tratamento cirúrgico de fraturas com fixador externo - coxa/fêmur;13/02/2009;;15/10/2010
30725178;Fêmur - descolamento epifisário de extremidades superior - tratamento conservador com gesso;13/02/2009;;15/10/2010
30725186;Fêmur - descolamento epifisário de extremidades superior - tratamento conservador sem gesso;13/02/2009;;15/10/2010
30725194;Fratura de extremidade superior do fêmur ou cavidade cotilóide - tratamento conservador com gesso;13/02/2009;;15/10/2010
30725208;Necrose asséptica da cabeça femoral - tratamento conservador;13/02/2009;;15/10/2010
30726018;Artrite séptica - tratamento cirúrgico - joelho;13/02/2009;;15/10/2010
30726026;Artrodese de joelho - tratamento cirúrgico;13/02/2009;;15/10/2010
30726034;Artroplastia total de joelho com implantes - tratamento cirúrgico;13/02/2009;;15/10/2010
30726042;Artrotomia - tratamento cirúrgico - joelho;13/02/2009;;15/10/2010
30726050;Biópsia cirúrgica de joelho;13/02/2009;;15/10/2010
30726069;Desarticulação de joelho - tratamento cirúrgico;13/02/2009;;15/10/2010
30726077;Epifisites e tendinites - tratamento cirúrgico;13/02/2009;;15/10/2010
30726085;Fratura de joelho - tratamento conservador;13/02/2009;;15/10/2010
30726093;Fratura e/ou luxação de patela (inclusive osteocondral) - redução incruenta;13/02/2009;;15/10/2010
30726107;Fratura e/ou luxação de patela - tratamento cirúrgico;13/02/2009;;15/10/2010
30726115;Fraturas e/ou luxações ao nível do joelho - redução incruenta;13/02/2009;;15/10/2010
30726123;Fraturas e/ou luxações ao nível do joelho - tratamento cirúrgico;13/02/2009;;15/10/2010
30726131;Lesão aguda de ligamento colateral, associada a ligamento cruzado e menisco - tratamento cirúrgico;13/02/2009;;15/10/2010
30726140;Lesões agudas e/ou luxações de meniscos (1 ou ambos) - tratamento cirúrgico;13/02/2009;;15/10/2010
30726158;Lesões complexas de joelho (fratura com lesão ligamentar e meniscal) - tratamento cirúrgico;13/02/2009;;15/10/2010
30726166;Lesões intrínsecas  de  joelho  (lesões  condrais,  osteocondrite dissecante, plica patológica, corpos livres, artrofitose) - tratamento cirúrgico;13/02/2009;;15/10/2010
30726174;Lesões ligamentares agudas - tratamento incruento;13/02/2009;;15/10/2010
30726182;Lesões ligamentares agudas - tratamento cirúrgico;13/02/2009;;15/10/2010
30726190;Lesões ligamentares periféricas crônicas - tratamento cirúrgico;13/02/2009;;15/10/2010
30726204;Liberação lateral e facectomias - tratamento cirúrgico;13/02/2009;;15/10/2010
30726212;Meniscorrafia - tratamento cirúrgico;13/02/2009;;15/10/2010
30726220;Osteotomias ao nível do joelho - tratamento cirúrgico;13/02/2009;;15/10/2010
30726239;Realinhamentos do aparelho extensor - tratamento cirúrgico;13/02/2009;;15/10/2010
30726247;Reconstruções ligamentares do pivot central - tratamento cirúrgico;13/02/2009;;15/10/2010
30726255;Revisões de artroplastia total - tratamento cirúrgico;13/02/2009;;15/10/2010
30726263;Revisões de realinhamentos do aparelho extensor - tratamento cirúrgico;13/02/2009;;15/10/2010
30726271;Revisões de reconstruções intra-articulares - tratamento cirúrgico;13/02/2009;;15/10/2010
30726280;Toalete cirúrgica - correção de joelho flexo - tratamento cirúrgico;13/02/2009;;15/10/2010
30726298;Transplantes homólogos ao nível do joelho - tratamento cirúrgico;13/02/2009;;15/10/2010
30726301;Tratamento cirúrgico de luxações / artrodese / contraturas com fixador externo;13/02/2009;;15/10/2010
30726310;Bolsa pré-patelar - ressecção;13/02/2009;;15/10/2010
30727014;Alongamento / transporte ósseo / pseudoartrose com fixador externo - perna;13/02/2009;;15/10/2010
30727022;Alongamento com fixador dinâmico - tratamento cirúrgico;13/02/2009;;15/10/2010
30727030;Alongamento dos ossos da perna - tratamento cirúrgico;13/02/2009;;15/10/2010
30727049;Amputação de perna - tratamento cirúrgico;13/02/2009;;15/10/2010
30727057;Biópsia cirúrgica de tíbia ou fíbula;13/02/2009;;15/10/2010
30727065;Correção de deformidade adquirida de tíbia com fixador externo;13/02/2009;;15/10/2010
30727073;Correção de deformidades congênitas na perna com fixador externo;13/02/2009;;15/10/2010
30727081;Encurtamento dos ossos da perna - tratamento cirúrgico;13/02/2009;;15/10/2010
30727090;Epifisiodese de tíbia/fíbula - tratamento cirúrgico;13/02/2009;;15/10/2010
30727103;Fratura de osso da perna - tratamento conservador;09/09/2010;;15/10/2010
30727111;Fraturas de fíbula (inclui o descolamento epifisário) - tratamento cirúrgico;13/02/2009;;15/10/2010
30727120;Fraturas de fíbula (inclui descolamento epifisário) - redução incruenta;13/02/2009;;15/10/2010
30727138;Fraturas de tíbia associada ou não a fíbula (inclui descolamento epifisário) - tratamento cirúrgico;13/02/2009;;15/10/2010
30727146;Fraturas de tíbia e fíbula (inclui descolamento epifisário) - redução incruenta;13/02/2009;;15/10/2010
30727154;Osteomielite dos ossos da perna - tratamento cirúrgico;13/02/2009;;15/10/2010
30727162;Osteotomias e/ou pseudartroses - tratamento cirúrgico;13/02/2009;;15/10/2010
30727170;Transposição de fíbula/tíbia - tratamento cirúrgico;13/02/2009;;15/10/2010
30727189;Tratamento cirúrgico de fraturas de tíbia com fixador externo;13/02/2009;;15/10/2010
30727197;Fratura de dois ossos da perna - tratamento conservador;13/02/2009;;15/10/2010
30728010;Amputação ao nível do tornozelo - tratamento cirúrgico;13/02/2009;;15/10/2010
30728029;Artrite ou osteoartrite - tratamento cirúrgico;13/02/2009;;15/10/2010
30728037;Artrodese (com ou sem alongamento simultâneo) com fixador externo;13/02/2009;;15/10/2010
30728045;Artrodese ao nível do tornozelo - tratamento cirúrgico;13/02/2009;;15/10/2010
30728053;Artroplastia de tornozelo (com implante) - tratamento cirúrgico;13/02/2009;;15/10/2010
30728061;Artrorrise do tornozelo - tratamento cirúrgico;13/02/2009;;15/10/2010
30728070;Artrotomia de tornozelo - tratamento cirúrgico;13/02/2009;;15/10/2010
30728088;Biópsia cirúrgica do tornozelo;13/02/2009;;15/10/2010
30728096;Fratura de tornozelo - tratamento conservador;13/02/2009;;15/10/2010
30728100;Fraturas / pseudartroses / artroses ao nível do tornozelo com fixador externo dinâmico - tratamento cirúrgico;13/02/2009;;15/10/2010
30728118;Fraturas e/ou luxações ao nível do tornozelo - redução incruenta;13/02/2009;;15/10/2010
30728126;Fraturas e/ou luxações ao nível do tornozelo - tratamento cirúrgico;13/02/2009;;15/10/2010
30728134;Lesões ligamentares agudas ao nível do tornozelo - tratamento incruento;13/02/2009;;15/10/2010
30728142;Lesões ligamentares agudas ao nível do tornozelo - tratamento cirúrgico;13/02/2009;;15/10/2010
30728150;Lesões ligamentares crônicas ao nível do tornozelo - tratamento cirúrgico;13/02/2009;;15/10/2010
30728169;Osteocondrite de tornozelo - tratamento cirúrgico;13/02/2009;;15/10/2010
30728177;Pseudartroses ou osteotomias ao nível do tornozelo - tratamento cirúrgico;13/02/2009;;15/10/2010
30729017;Amputação ao nível do pé - tratamento cirúrgico;13/02/2009;;15/10/2010
30729025;Amputação/desarticulação de pododáctilos (por segmento) - tratamento cirúrgico;13/02/2009;;15/10/2010
30729033;Artrite ou osteoartrite dos ossos do pé (inclui osteomielite) - tratamento cirúrgico;13/02/2009;;15/10/2010
30729041;Artrodese de tarso e/ou médio pé - tratamento cirúrgico;13/02/2009;;15/10/2010
30729050;Artrodese metatarso - falângica ou interfalângica - tratamento cirúrgico;13/02/2009;;15/10/2010
30729068;Biópsia cirúrgica dos ossos do pé;13/02/2009;;15/10/2010
30729084;Correção de deformidades do pé com fixador externo dinâmico - tratamento cirúrgico;13/02/2009;;15/10/2010
30729092;Correção de pé torto congênito com fixador externo;13/02/2009;;15/10/2010
30729106;Deformidade dos dedos - tratamento cirúrgico;13/02/2009;;15/10/2010
30729114;Exérese ungueal;13/02/2009;;15/10/2010
30729122;Fasciotomia ou ressecção de fascia plantar - tratamento cirúrgico;13/02/2009;;15/10/2010
30729130;Fratura de osso do pé - tratamento conservador;13/02/2009;;15/10/2010
30729149;Fratura e/ou luxações do pé (exceto antepé) - redução incruenta;13/02/2009;;15/10/2010
30729157;Fratura e/ou luxações do pé (exceto antepé) - tratamento cirúrgico;13/02/2009;;15/10/2010
30729165;Fraturas e/ou luxações do antepé - redução incruenta;13/02/2009;;15/10/2010
30729173;Fraturas e/ou luxações do antepé - tratamento cirúrgico;13/02/2009;;15/10/2010
30729181;Hallux valgus (um pé) - tratamento cirúrgico;13/02/2009;;15/10/2010
30729190;Osteotomia ou pseudartrose do tarso e médio pé - tratamento cirúrgico;13/02/2009;;15/10/2010
30729203;Osteotomia ou pseudartrose dos metatarsos/falanges - tratamento cirúrgico;13/02/2009;;15/10/2010
30729211;Osteotomias / fraturas com fixador externo;13/02/2009;;15/10/2010
30729220;Pé plano/pé cavo/coalisão tarsal - tratamento cirúrgico;13/02/2009;;15/10/2010
30729238;Pé torto congênito (um pé) - tratamento cirúrgico;13/02/2009;;15/10/2010
30729246;Ressecção de osso do pé - tratamento cirúrgico;13/02/2009;;15/10/2010
30729254;Retração cicatricial dos dedos;13/02/2009;;15/10/2010
30729262;Rotura do tendão de Aquiles - tratamento incruento;13/02/2009;;15/10/2010
30729270;Rotura do tendão de Aquiles - tratamento cirúrgico;13/02/2009;;15/10/2010
30729289;Tratamento cirúrgico da sindactilia complexa e /ou múltipla;13/02/2009;;15/10/2010
30729297;Tratamento cirúrgico da sindactilia simples;13/02/2009;;15/10/2010
30729300;Tratamento cirúrgico de gigantismo;13/02/2009;;15/10/2010
30729319;Tratamento cirúrgico de linfedema ao nível do pé;13/02/2009;;15/10/2010
30729327;Tratamento cirúrgico de polidactilia múltipla e/ou complexa;13/02/2009;;15/10/2010
30729335;Tratamento cirúrgico de polidactilia simples;13/02/2009;;15/10/2010
30729343;Tratamento cirúrgico do mal perfurante plantar;13/02/2009;;15/10/2010
30730015;Alongamento;13/02/2009;;15/10/2010
30730023;Biópsia de músculo;13/02/2009;;15/10/2010
30730031;Desbridamento cirúrgico de feridas ou extremidades;13/02/2009;;15/10/2010
30730040;Desinserção ou miotomia;13/02/2009;;15/10/2010
30730058;Dissecção muscular;13/02/2009;;15/10/2010
30730066;Drenagem cirúrgica do psoas;13/02/2009;;15/10/2010
30730074;Fasciotomia;13/02/2009;;15/10/2010
30730082;Fasciotomia - por compartimento;13/02/2009;;15/10/2010
30730090;Fasciotomias (descompressivas);13/02/2009;;15/10/2010
30730104;Fasciotomias acima do punho;13/02/2009;;15/10/2010
30730112;Miorrafias;13/02/2009;;15/10/2010
30730120;Terapia por ondas de choque extracorpórea em partes moles - acompanhamento 1ª aplicação;13/02/2009;;15/10/2010
30730139;Terapia por ondas de choque extracorpórea em partes moles - acompanhamento reaplicações;13/02/2009;;15/10/2010
30730155;Transposição muscular;13/02/2009;;15/10/2010
30730163;Lesão ligamentar aguda - tratamento conservador;13/02/2009;;15/10/2010
30730171;Lesões músculo tendinosas - tratamento incruento;13/02/2009;;15/10/2010
30731011;Abertura de bainha tendinosa - tratamento cirúrgico;13/02/2009;;15/10/2010
30731020;Biópsias cirúrgicas de tendões, bursas e sinóvias;13/02/2009;;15/10/2010
30731038;Bursectomia - tratamento cirúrgico;13/02/2009;;15/10/2010
30731046;Cisto sinovial - tratamento cirúrgico;13/02/2009;;15/10/2010
30731054;Encurtamento de tendão - tratamento cirúrgico;13/02/2009;;15/10/2010
30731062;Sinovectomia - tratamento cirúrgico;13/02/2009;;15/10/2010
30731070;Tenoartroplastia para ossos do carpo;13/02/2009;;15/10/2010
30731089;Tenodese;13/02/2009;;15/10/2010
30731097;Tenólise no túnel osteofibroso;13/02/2009;;15/10/2010
30731100;Tenólise/tendonese - tratamento cirúrgico;13/02/2009;;15/10/2010
30731119;Tenoplastia / enxerto de tendão - tratamento cirúrgico;13/02/2009;;15/10/2010
30731127;Tenoplastia de tendão em outras regiões;13/02/2009;;15/10/2010
30731135;Tenorrafia múltipla em outras regiões;13/02/2009;;15/10/2010
30731143;Tenorrafia no túnel osteofibroso - mais de 2 dígitos;13/02/2009;;15/10/2010
30731151;Tenorrafia no túnel osteofibroso até 2 dígitos;13/02/2009;;15/10/2010
30731160;Tenorrafia única em outras regiões;13/02/2009;;15/10/2010
30731178;Tenossinovectomia de mão ou punho;13/02/2009;;15/10/2010
30731186;Tenossinovites estenosantes - tratamento cirúrgico;13/02/2009;;15/10/2010
30731194;Tenossinovites infecciosas - drenagem;13/02/2009;;15/10/2010
30731208;Tenotomia;13/02/2009;;15/10/2010
30731216;Transposição de mais de 1 tendão - tratamento cirúrgico;13/02/2009;;15/10/2010
30731224;Transposição única de tendão;13/02/2009;;15/10/2010
30731232;Tumores de tendão ou sinovial - tratamento cirúrgico;13/02/2009;;15/10/2010
30731240;Alongamento de tendões - tratamento cruento;13/02/2009;;15/10/2010
30731259;Rotura de tendão de aquiles - tratamento conservador;13/02/2009;;15/10/2010
30732018;Curetagem ou ressecção em bloco de tumor com reconstrução e enxerto vascularizado;13/02/2009;;15/10/2010
30732026;Enxerto ósseo;13/02/2009;;15/10/2010
30732034;Ressecção da lesão com cimentação e osteosíntese;13/02/2009;;15/10/2010
30732042;Revisão de endoprótese;13/02/2009;;15/10/2010
30732050;Terapia por ondas de choque extracorpórea em partes ósseas - acompanhamento 1ª aplicação;13/02/2009;;15/10/2010
30732069;Terapia por ondas de choque extracorpórea em partes ósseas - acompanhamento reaplicações;13/02/2009;;15/10/2010
30732085;Tumor ósseo (ressecção com substituição);13/02/2009;;15/10/2010
30732093;Tumor ósseo (ressecção e artrodese);13/02/2009;;15/10/2010
30732107;Tumor ósseo (ressecção e cimento);13/02/2009;;15/10/2010
30732115;Tumor ósseo (ressecção e enxerto);13/02/2009;;15/10/2010
30732123;Tumor ósseo (ressecção segmentar);13/02/2009;;15/10/2010
30732131;Tumor ósseo (ressecção simples);13/02/2009;;15/10/2010
30733014;Sinovectomia total  - procedimento videoartroscópico de joelho;13/02/2009;;15/10/2010
30733022;Sinovectomia parcial ou subtotal - procedimento videoartroscópico de joelho;13/02/2009;;15/10/2010
30733030;Condroplastia (com remoção de corpos livres) - procedimento videoartroscópico de joelho;13/02/2009;;15/10/2010
30733049;Osteocondroplastia - estabilização, ressecção e/ou plastia #  - procedimento videoartroscópico de joelho;13/02/2009;;15/10/2010
30733057;Meniscectomia - um menisco - procedimento videoartroscópico de joelho;13/02/2009;;15/10/2010
30733065;Reparo ou sutura de um menisco - procedimento videoartroscópico de joelho;13/02/2009;;15/10/2010
30733073;Reconstrução, retencionamento ou reforço do ligamento cruzado anterior ou posterior #  - procedimento videoartroscópico de joelho;13/02/2009;;15/10/2010
30733081;Fratura com redução e/ou estabilização da superfície articular - um compartimento #  - procedimento videoartroscópico de joelho;13/02/2009;;15/10/2010
30733090;Tratamento cirúrgico da artrofibrose #  - procedimento videoartroscópico de joelho;13/02/2009;;15/10/2010
30733103;Instabilidade femoro-patelar, release lateral da patela, retencionamento, reforço ou reconstrução do ligamento patelo-femoral medial #  - procedimento videoartroscópico de joelho;13/02/2009;;15/10/2010
30734010;Sinovectomia total - procedimento videoartroscópico de tornozelo;13/02/2009;;15/10/2010
30734029;Sinovectomia parcial ou subtotal - procedimento videoartroscópico de tornozelo;13/02/2009;;15/10/2010
30734037;Condroplastia (com remoção de corpos livres) - procedimento videoartroscópico de tornozelo;13/02/2009;;15/10/2010
30734045;Osteocondroplastia - estabilização, ressecção e ou plastia (enxertia) # - procedimento videoartroscópico de tornozelo;13/02/2009;;15/10/2010
30734053;Reconstrução, retencionamento ou reforço de ligamento - procedimento videoartroscópico de tornozelo;13/02/2009;;15/10/2010
30734061;Fraturas - redução e estabilização de cada superfície - procedimento videoartroscópico de tornozelo;13/02/2009;;15/10/2010
30735017;Sinovectomia total - procedimento videoartroscópico de ombro;13/02/2009;;15/10/2010
30735025;Sinovectomia parcial ou subtotal  - procedimento videoartroscópico de ombro;13/02/2009;;15/10/2010
30735033;Acromioplastia - procedimento videoartroscópico de ombro;13/02/2009;;15/10/2010
30735041;Lesão labral - procedimento videoartroscópico de ombro;13/02/2009;;15/10/2010
30735050;Luxação gleno-umeral - procedimento videoartroscópico de ombro;13/02/2009;;15/10/2010
30735068;Ruptura do manguito rotador - procedimento videoartroscópico de ombro;13/02/2009;;15/10/2010
30735076;Instabilidade multidirecional - procedimento videoartroscópico de ombro;13/02/2009;;15/10/2010
30735084;Ressecção lateral da clavícula - procedimento videoartroscópico de ombro;13/02/2009;;15/10/2010
30735092;Tenotomia da porção longa do bíceps - procedimento videoartroscópico de ombro;13/02/2009;;15/10/2010
30736013;Sinovectomia  total - procedimento videoartroscópico de cotovelo;13/02/2009;;15/10/2010
30736021;Sinovectomia parcial ou subtotal - procedimento videoartroscópico de cotovelo;13/02/2009;;15/10/2010
30736030;Condroplastia (com remoção de corpos livres) - procedimento videoartroscópico de cotovelo;13/02/2009;;15/10/2010
30736048;Osteocondroplastia - estabilização, ressecção e/ou plastia (enxertia) # - procedimento videoartroscópico de cotovelo;13/02/2009;;15/10/2010
30736056;Reconstrução, retencionamento ou reforço de ligamento #  - procedimento videoartroscópico de cotovelo;13/02/2009;;15/10/2010
30736064;Fraturas: redução e estabilização para cada superfície - procedimento videoartroscópico de cotovelo;13/02/2009;;15/10/2010
30737010;Sinovectomia total - procedimento videoartroscópico de punho e túnel do carpo;13/02/2009;;15/10/2010
30737028;Sinovectomia parcial ou subtotal  - procedimento videoartroscópico de punho e túnel do carpo;13/02/2009;;15/10/2010
30737036;Condroplastia (com remoção de corpos livres) - procedimento videoartroscópico de punho e túnel do carpo;13/02/2009;;15/10/2010
30737044;Osteocondroplastia - estabilização, ressecção e/ou plastia (enxertia) - procedimento videoartroscópico de punho e túnel do carpo;13/02/2009;;15/10/2010
30737052;Reconstrução, retencionamento ou reforço de ligamento ou reparo de cartilagem triangular # - procedimento videoartroscópico de punho e túnel do carpo;13/02/2009;;15/10/2010
